"cloud_RoleInstance","average_processor_time","average_processor_time_normalized","cpu_count","instance_begin [UTC]","instance_end [UTC]","instance_duration","average_ram_used_bytes","average_ram_available_bytes","avg_io_bytes_sec","full_percentile_duration_25","full_percentile_duration_50","full_percentile_duration_75","full_percentile_duration_90","full_percentile_duration_95","full_percentile_duration_99","full_min_duration","full_average_duration","full_max_duration","full_request_count","request_percentile_duration_25","request_percentile_duration_50","request_percentile_duration_75","request_percentile_duration_90","request_percentile_duration_95","request_percentile_duration_99","request_min_duration","request_average_duration","request_max_duration","incoming_request_count","table_percentile_duration_25","table_percentile_duration_50","table_percentile_duration_75","table_percentile_duration_90","table_percentile_duration_95","table_percentile_duration_99","table_min_duration","table_average_duration","table_max_duration","table_request_count"
"A87A0A3E-637952790482728602","11.62602697468052","5.813020454762058",2,"05/08/2022, 08:01:23.010","05/08/2022, 08:35:29.125","00:34:06.1150000","696836447.0857143",,,"67.70289112940604","84.07436312037996","102.60383585888161","129.30199284055254","158.12025556240164","7364.100588129252","24.443","236.90538940849896","17529.8914",28825,"90.0335536378892","118.6945573905289","155.56570628288569","186.88427658371995","203.67255389822787","251.01179383333331","24.9558","138.626463961839","17032.8854",28825,"9.654804174784674","13.596605028423474","21.963272717476578","34.463142500145686","46.4682019047619","87.331725","6.1555","24.231423879837102","1646.9089",29607
"A87A0A3E-637952841142461882","5.7498038998741485","2.8749019328387977",2,"05/08/2022, 08:22:09.512","05/08/2022, 08:48:14.545","00:26:05.0330000","791348516.5714285",,,"52.863803750166014","72.91998668332373","96.16328503038744","148.9190941358025","9222.07757906799","24620.480466666668","24.6954","1118.2099046980436","27838.8444",11260,"80.18644945369243","106.70450923439789","141.72559187064968","177.5354711613065","204.0177770189995","256.196775","24.0667","126.23396089698079","4370.9659",11260,"9.811973749408867","13.997326667752663","22.72227204864012","35.37578382016843","46.60235476190476","129.0709","6.3394","23.38954632180915","700.1755",11119
"A87A0A3E-637952829970650165","8.731362656613289","4.365685574902416",2,"05/08/2022, 08:21:52.043","05/08/2022, 08:51:58.103","00:30:06.0600000","675447841.032258",,,"55.95577763627156","78.61908888379789","104.98549251366644","135.0660838183025","157.43330833333334","202.108605","14.5501","84.83351672407689","795.7058",14225,"95.23307910824825","128.19167320213688","165.34495623492964","199.77392535312222","222.8058031100183","273.4690333333333","27.7669","133.61722070298785","960.7579",14225,"11.094508149329553","15.949355460138337","25.363506020717253","41.23879994560995","54.2701193877551","95.868","7.2112","21.88101991691112","212.0933",14498
"A87A0A3E-637952823018793237","12.651860386668467","6.325948304153652",2,"05/08/2022, 08:37:36.864","05/08/2022, 09:13:43.999","00:36:07.1350000","671874101.8947369",,,"66.18950331189465","82.52449288123063","100.02216155523094","121.86173527240602","139.99865247124114","181.92247936507937","24.4531","86.1422433396195","792.5205",34465,"91.04620536451515","118.468109303028","152.85907545283888","182.79959007425552","199.8413830486724","243.86511252525253","27.2085","124.33263892064524","828.6971",34465,"10.123559854512855","14.284858752677401","22.508839614006618","33.74731732606985","42.8402955854321","66.0272375","6.4069","18.524594317167523","191.8761",34491
"A87A0A3E-637952840493740127","3.5487518647958574","1.7743817054157767",2,"05/08/2022, 09:00:57.376","05/08/2022, 09:25:01.406","00:24:04.0300000","667415838.72",,,"59.95407604689882","75.55994259801457","94.56686020512821","165.12379054545457","8626.854844444446","19653.2644","24.5652","1050.0584912828958","29428.87",4256,"80.64825877420824","109.07245081470948","153.0923615772937","180.9410405982906","193.65432029478458","308.8301","30.9531","218.5063880639093","18322.0282",4256,"9.512460626302083","12.733547158453218","18.95779057419278","29.229105082199546","38.366138888888884","311.3223","6.4933","20.596053898561706","632.863",4248
"A87A0A3E-637952861368944832","3.4414574503516144","1.7207237508270086",2,"05/08/2022, 09:01:17.874","05/08/2022, 09:31:23.917","00:30:06.0430000","802750199.7419355",,,"51.67523393827161","73.91153552380288","96.16506761417484","125.53157738208293","150.28098714285713","222.7769","25.8043","205.91204012676815","17370.8651",4102,"75.35660289554679","105.81121603769307","145.05455969642858","181.08777081035953","201.23545727891158","471.22","25.6033","220.58798939541668","17313.0965",4102,"9.404126287878789","12.894432335736063","20.63073082188645","34.27834327016521","46.0409","369.7009","6.3996","23.60078142076503","699.7452",4136
"A87A0A3E-637952848373290843","2.994785969046859","1.4973930854276838",2,"05/08/2022, 09:01:28.173","05/08/2022, 09:31:34.211","00:30:06.0380000",681394176,,,"46.75996432108351","70.09583678303177","96.56802712689326","130.36291088929588","152.47928194444444","237.5078","24.9768","209.97638203224997","17235.0191",3907,"77.25721002673797","103.38672966802821","144.92876469690634","179.7651888034188","217.1035972789116","263.8314","22.8024","220.9384511133859","17265.8945",3907,"9.37930322177822","12.769554916962736","20.89132984257018","34.73715","50.08722222222222","562.3978","6.6343","26.012587880143112","735.4893",3940
"A87A0A3E-637952853483474211","3.3991666592560703","1.6995841870711763",2,"05/08/2022, 09:01:38.458","05/08/2022, 09:31:44.499","00:30:06.0410000","671624423.2258065",,,"58.78634463456127","74.77256559225046","90.27722266666667","108.36051499999999","125.2123697845805","165.715","23.7606","77.76104784351162","703.5757",5240,"83.15106859188816","108.93500186410633","146.50848729166668","173.70394598317571","188.806503595724","227.70372500000002","24.5834","116.54300879770996","913.0655",5240,"9.447988496969698","12.426251130391957","18.630184942959","29.47819047619048","39.9539","64.2077","6.4694","16.631804698216733","161.4045",5329
"A87A0A3E-637952867384976838","3.8292701930438113","1.914639400769777",2,"05/08/2022, 09:01:07.725","05/08/2022, 09:31:13.781","00:30:06.0560000","815888714.3225807",,,"65.49848120971782","88.03848808785617","114.36074863834423","193.47040596955128","16934.75211851852","25477.0857","25.1506","1585.473927125499","26908.2571",4940,"91.26766717156242","123.6314501047296","169.36005366625818","207.48685966880345","252.5955485714286","351.4128","30.8721","173.10454682186185","6475.8216",4940,"11.398679761904761","16.41479107142857","26.890685592592593","43.88844775","59.6817","377.7015","7.4387","27.162707169042793","607.0175",4985
"A87A0A3E-637952842186282560","5.938850004034279","2.969426177409174",2,"05/08/2022, 09:01:48.840","05/08/2022, 09:35:54.887","00:34:06.0470000","694304065.8285714",,,"58.51726998766314","78.61002023157313","97.9313543529346","120.63270129610605","139.30996248264893","178.06593333333333","24.6513","81.52642509538944","680.8822",12580,"84.08536653245258","113.6625094611412","151.2474216964906","181.17356829777847","201.22686348852042","250.637","23.7004","119.88526554054043","801.8597",12580,"9.438485923452898","12.923539743589746","21.23707555686381","34.32366191089214","45.34297","75.5909","5.9424","18.1159910520887","142.9256",12505
"A87A0A3E-637952881368871662","13.481653828016514","6.74185259896762",2,"05/08/2022, 09:24:15.981","05/08/2022, 09:52:21.070","00:28:05.0890000","774506632.5333333",,,"66.39081643307975","83.43809377247356","102.77702413494353","128.1225632970705","151.66714603571427","595.5978938847737","23.9334","133.32902681574572","8789.2477",27055,"90.02644879795174","119.79933768735813","156.3080656224757","186.61930039382938","209.60557906407726","275.9489463450727","27.0295","128.26825270005546","4814.0135",27055,"10.332437271167047","15.33698147637084","24.861606493506496","37.8015620289142","49.4955530612245","94.405675","6.4344","22.104193267596045","675.4616",27222
"A87A0A3E-637952879174192460","18.636547652365564","9.318323842934534",2,"05/08/2022, 09:41:30.901","05/08/2022, 10:01:34.964","00:20:04.0630000","735088249.9047619",,,"66.40091781847322","82.23363619932387","99.88934004492772","121.80032237669845","138.69560265424082","182.77535987654323","24.1587","85.92764470081114","659.2678",28995,"90.0617467793411","118.45412471189144","154.50014330453195","184.33284437877398","200.41447984871152","230.68416154265873","25.5646","124.07692334195528","709.1274",28995,"10.58439898514514","14.865611972549384","22.70562662613505","34.36993773478679","43.903437154614934","65.73255","6.8842","19.0551801856479","159.4487",29046
