test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,get_products,17986,17986,0,2.5,5.56,9.91,222.84,9.11,10.86,14.71,23.22,4.32,19.072,19.07,19.072,334.9939
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,limiter,17976,17976,0,2.5,5.09,3994.38,4020.77,3995.65,3999.74,4005.89,4009.98,62.7,0,0,0,0
