"_ResourceId",duration,"sum_ItemCount"
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",55,265
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",58,223
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",60,244
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",66,267
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",76,265
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",106,305
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",145,223
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",147,223
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/appservices/providers/microsoft.insights/components/high-appservice",154,291
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",6,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",7,346
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",8,2943
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",9,5236
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",10,4228
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",11,2062
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",12,1079
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",13,752
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",14,418
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",15,234
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",16,149
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",17,88
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",18,63
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",19,32
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",20,22
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",21,23
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",22,18
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",23,15
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",24,13
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",25,12
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",26,5
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",27,11
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",28,5
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",29,3
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",30,4
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",31,6
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",32,5
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",34,3
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",35,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",36,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",37,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",40,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",42,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",43,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",44,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",47,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",48,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",49,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",55,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",56,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",58,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",60,2
