"_ResourceId",rcount,avg,min,max,stdev,"percentile_DurationMs_1","percentile_DurationMs_2","percentile_DurationMs_5","percentile_DurationMs_10","percentile_DurationMs_25","percentile_DurationMs_50","percentile_DurationMs_75","percentile_DurationMs_90","percentile_DurationMs_95","percentile_DurationMs_98","percentile_DurationMs_99"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/vm-ai-resource/providers/microsoft.insights/components/load-250-grpc-docker",942740,"20.994028259015522","5.8225","108.9996","8.770272090984408","8.87354","9.656796164021165","11.005824937514848","12.358320457148904","15.158580275408058","19.01917615665085","24.49854122592116","31.927694611822616","38.06009432688786","45.80928671556122","51.058427083333335"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/vm-ai-resource/providers/microsoft.insights/components/load-2-grpc-docker",17698,"9.022179464710934","4.1451","142.6248","4.2850329083683825","4.78725","4.9985815873015875","5.283279634837963","5.60611452030973","6.5085522615213","8.457627019903295","10.42918088235294","12.74696704919985","14.757448158418923","17.850724867724868","20.65675"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/vm-ai-resource/providers/microsoft.insights/components/load-25-grpc-docker",177870,"13.746526988587451","4.6166","233.933","6.775194453083985","5.86802537037037","6.131755490620491","6.755169273337424","7.4175620228283625","9.457483985669617","12.379619036103598","16.112808351736476","21.051939935399496","25.210912256130523","31.916246971153846","37.93046666666667"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-25-function-r1_group/providers/microsoft.insights/components/load-25-function-r1",177598,"146.2030001261277","11.1933","65090.4869","2376.3781245227974","12.817867453562567","13.068101080819508","13.572116189969806","14.525999876031758","16.032326132768606","17.946919568556027","21.495149799866688","25.078396747976335","28.50173709127426","34.00838405714815","39.09656911109724"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",17996,"2141.653495778039","3.882","63508.9459","9459.273660852503","5.182483333333334","5.334933333333333","5.544350237963158","5.7737256229073655","6.24938051678093","6.851394833230734","7.844297335071226","10.994541799316476","16226.754358847315","46097.28146333333","55659.79800555555"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/vm-ai-resource/providers/microsoft.insights/components/load-2-grpc-vm-linux",17752,"3.1418466136231316","2.0223","127.7408","2.225340570811578","2.3372333333333333","2.414305714285714","2.532738505698006","2.65756056154879","2.8457843166797687","3.022578038746311","3.2358866781866413","3.4928983703099474","3.7042143315508023","4.205238911564626","5.007022222222223"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/vm-ai-resource/providers/microsoft.insights/components/load-25-grpc-vm-linux",183371,"3.525318494647748","1.9585","23.8703","1.2022211718731293","2.3146411111111105","2.3945220952380954","2.5352095306232396","2.685218186672673","2.9034198758257457","3.224184482420307","3.714341710335706","4.677183791943254","5.398820393808807","6.838024404761905","8.40473968"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/vm-ai-resource/providers/microsoft.insights/components/load-250-grpc-vm-linux",1825805,"3.424152210029743","1.9263","65.7544","1.449801328872339","2.1938585714285717","2.2650137373737373","2.3923703298376036","2.52145073383332","2.778994956684951","3.140240268205176","3.7218991428579424","4.454429215898219","4.940365319113756","6.764478571428572","8.836059098639454"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-function-r1_group/providers/microsoft.insights/components/load-2-function-r1",17921,"31.490058947603366","11.6616","7698.8905","220.31302316078842","12.530397666666667","12.764980163540162","13.304446703296705","14.47375303454225","16.068717260966533","17.277254870186166","20.01120244734392","26.16634897978433","35.98104602795814","71.79034618055556","132.16106755555555"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-25-appservice-linux-r1_group/providers/microsoft.insights/components/load-25-appservice-linux-r1",176437,"15.734526983322022","3.2638","2563.6743","80.73089867170624","4.547053333333333","4.822918518518518","5.283593786231885","5.768897363587133","6.827278945907976","9.284379225971001","16.008893179101925","23.663062485326158","29.543769524227585","37.15264676346801","44.723111111111116"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-docker/providers/microsoft.insights/components/load-2-docker-application-inishgts",17744,"11.698892609204421","5.1204","155.6687","4.612327932205168","6.253158333333333","6.421340476190476","6.776362180025856","7.20508232255899","8.55909483022592","11.20451644495008","13.736705614421739","16.59590880510753","18.692524979504924","21.235123333333334","23.68509012345679"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-250-docker/providers/microsoft.insights/components/load-250-docker-application-inishgts",1631124,"20.896864211105022","3.5911","1018.6711","15.200281227158266","6.001298374999999","6.558513791887126","7.570219994037377","8.76370722001159","11.661868392561075","17.348057927048007","26.179978637063098","36.857866165558086","45.60937907954545","57.84730374479167","67.72117680000001"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-25-docker/providers/microsoft.insights/components/load-25-docker-application-inishgts",177644,"14.889343305084742","3.6251","1093.373","24.92754202454787","4.628697083333334","4.9213625","5.411516677496209","6.115156338534455","8.045752332055972","11.393946431489956","17.6550824281522","26.15423981399067","32.40529528352626","41.21226333333333","48.95619333333334"
