test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,get_products,1747835,1747693,142,242.7,16.06,34.29,994.23,29.66,36.26,58.3,101.31,18.75,18.637,18.679,18.679,31879.5433
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,limiter,1747691,1747691,0,242.7,0,6.81,200.56,2.13,9.38,26.05,61.63,12.09,0,0,0,0
