test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,get_products,17976,17976,0,2.5,8.4,17.23,174.11,16.61,19.65,25.25,30.94,5.34,18.721,18.727,18.721,328.6361
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,limiter,17966,17966,0,2.5,3295.3,3989.05,6460.75,3989.5,3993.6,3999.74,4005.89,34.34,0,0,0,0
