test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,get_products,1779188,1779126,62,247.1,5.31,22.26,892.22,19.93,27.23,42.27,64.45,12.3,18.721,18.727,18.721,32525.8688
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,limiter,1779120,1779120,0,247.1,0,18.19,182.93,15.41,25.55,49.89,83.07,17.33,0,0,0,0
