test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,get_products,1794715,1794702,13,249.3,5.88,14.2,986.95,12.81,16.28,24.7,36.06,8.28,19.065,19.07,19.065,33414.8094
nbomber_default_test_suite_name,nbomber_default_test_name,scenario,02:00:00,limiter,1794693,1794693,0,249.3,0,25.9,389.24,19.66,36.67,73.47,119.74,26.38,0,0,0,0
