"cloud_RoleInstance","average_processor_time","average_processor_time_normalized","cpu_count","instance_begin [UTC]","instance_end [UTC]","instance_duration","average_ram_used_bytes","average_ram_available_bytes","avg_io_bytes_sec","full_percentile_duration_25","full_percentile_duration_50","full_percentile_duration_75","full_percentile_duration_90","full_percentile_duration_95","full_percentile_duration_99","full_min_duration","full_average_duration","full_max_duration","full_request_count","request_percentile_duration_25","request_percentile_duration_50","request_percentile_duration_75","request_percentile_duration_90","request_percentile_duration_95","request_percentile_duration_99","request_min_duration","request_average_duration","request_max_duration","incoming_request_count","table_percentile_duration_25","table_percentile_duration_50","table_percentile_duration_75","table_percentile_duration_90","table_percentile_duration_95","table_percentile_duration_99","table_min_duration","table_average_duration","table_max_duration","table_request_count"
"A87A0A3E-637986695488835925","0.5804699531948377","0.2902354569573418",2,"13/09/2022, 14:01:25.720","13/09/2022, 14:10:26.730","00:09:01.0100000","596411596.8",,,"167047.8544","886483.9274","1606526.3874","2026405.6981","2146471.5825","2266623.6108","21.921","935073.8610680853","2266623.6108",47,,,,,,,,,,,"52.1704","310.8284","363.4509","403.1559","412.6576","513.0921","8.5673","251.3150787234043","513.0921",47
"A87A0A3E-637986743559992687","1.5434872037047087","0.7717488878502047",2,"13/09/2022, 14:09:56.311","13/09/2022, 14:11:56.315","00:02:00.0040000",583483392,,,"752.3609","752.3609","752.3609","752.3609","752.3609","752.3609","752.3609","752.3609","752.3609",1,,,,,,,,,,,"108.1578","108.1578","108.1578","108.1578","108.1578","108.1578","108.1578","108.1578","108.1578",1
"A87A0A3E-637986673141147165","0.978101672388225","0.48905087690811605",2,"13/09/2022, 13:10:32.730","13/09/2022, 13:36:37.775","00:26:05.0450000","605742573.037037",,,"28.0997","29.3286","85.4883","310.8494","421.3605","421.3605","24.9716","100.07720769230771","421.3605",13,,,,,,,,,,,"9.5014","10.5537","11.5745","182.604","264.5874","264.5874","8.6152","46.2494","264.5874",13
