"cloud_RoleInstance","average_processor_time","average_processor_time_normalized","cpu_count","instance_begin [UTC]","instance_end [UTC]","instance_duration","average_ram_used_bytes","average_ram_available_bytes","avg_io_bytes_sec","full_percentile_duration_25","full_percentile_duration_50","full_percentile_duration_75","full_percentile_duration_90","full_percentile_duration_95","full_percentile_duration_99","full_min_duration","full_average_duration","full_max_duration","full_request_count","request_percentile_duration_25","request_percentile_duration_50","request_percentile_duration_75","request_percentile_duration_90","request_percentile_duration_95","request_percentile_duration_99","request_min_duration","request_average_duration","request_max_duration","incoming_request_count","table_percentile_duration_25","table_percentile_duration_50","table_percentile_duration_75","table_percentile_duration_90","table_percentile_duration_95","table_percentile_duration_99","table_min_duration","table_average_duration","table_max_duration","table_request_count"
"A87A0A3E-637986638409656020","3.49988109737285","1.74994029787017",2,"13/09/2022, 12:24:43.621","13/09/2022, 12:24:43.621","00:00:00",604336128,,,"2317.0458","2317.0458","2317.0458","2317.0458","2317.0458","2317.0458","2317.0458","2317.0458","2317.0458",1,,,,,,,,,,,"187.2538","187.2538","187.2538","187.2538","187.2538","187.2538","187.2538","187.2538","187.2538",1
"A87A0A3E-637986675831888809","0.7744294704123916","0.38721473628837916",2,"13/09/2022, 12:24:55.373","13/09/2022, 13:26:07.443","01:01:12.0700000","664773665.032258",,,"214.0018","286.6293","863.4003","863.4003","863.4003","863.4003","214.0018","454.67713333333336","863.4003",3,,,,,,,,,,,"78.9011","120.2826","141.9819","141.9819","141.9819","141.9819","78.9011","113.72186666666666","141.9819",3
