"cloud_RoleInstance","average_processor_time","average_processor_time_normalized","cpu_count","instance_begin [UTC]","instance_end [UTC]","instance_duration","average_ram_available_bytes","average_ram_used_bytes","avg_io_bytes_sec","request_percentile_duration_25","request_percentile_duration_50","request_percentile_duration_75","request_percentile_duration_90","request_percentile_duration_95","request_percentile_duration_99","request_min_duration","request_average_duration","request_max_duration","incoming_request_count","sql_percentile_duration_25","sql_percentile_duration_50","sql_percentile_duration_75","sql_percentile_duration_90","sql_percentile_duration_95","sql_percentile_duration_99","sql_min_duration","sql_average_duration","sql_max_duration","sql_request_count"
366fa4ceeaa7a4f625054606f1c6f18d1b76c9001231386e1284cf7dc8fb4e9a,"0.30796559987208955","0.15398284306517307",2,"21/07/2022, 16:59:55.552","21/07/2022, 18:11:10.288","01:11:14.7360000","1774000412.4444444","250132423.1111111","31965.700094161955","14.151675999999998","14.891370857142856","16.697677777777777","31.6025","108.8185","2667.6329","12.9319","89.52065489467168","5807.3592",807,"3.082191666666666","3.3651779265306123","4.148896666666667","9.49795625","64.8299","407.0528","2.3599","16.84521208384714","691.9616",811
45f14faf1ea163b765813179b9ab5f28e084f615d6082fc19356f2f77f90d2d6,"2.316069940941807","1.1580351442342427",2,"21/07/2022, 16:59:55.407","21/07/2022, 18:30:14.605","01:30:19.1980000","1666470311.724138","258121304.27586207","123813.62244301579","16.932537415686276","18.32334347243108","21.75719348408609","28.85535829813769","39.48641285714286","119.2624","13.8659","27.49200975696923","5074.6692",5596,"1.9824713763209787","2.2504237569388845","2.9034031571691172","6.191060081409331","14.537962124676117","90.7109","1.3082","6.394894834413235","715.5717",5556
44849ccdeb393be52629194cb77e223297c44c5ea78d9d449093e18ade27d102,"3.166986996533719","1.5834936184562478",2,"21/07/2022, 17:24:55.827","21/07/2022, 18:59:16.011","01:34:20.1840000","1679506773.3333333",165722240,"182585.61458333334","16.311892222452556","17.293671470956102","19.82023203188708","25.098975","32.31500132275132","89.2684","12.804","27.20408311450712","7698.8905",9292,"1.957054829403079","2.2043625458443064","2.7364635789558194","5.18743186509313","11.621162436212778","67.0197","1.1935","5.087299922342991","549.8092",9014
6507c5a40d650fca468b5b9e7325efddee5eacb74b5bb3acf97a8a0df5e3d720,"1.1495165929535975","0.5747500808730265",2,"21/07/2022, 18:14:27.402","21/07/2022, 18:59:36.922","00:45:09.5200000","1589716279.652174","156351532.52173913","98330.73913043478","12.951325915750918","13.556306292735043","15.243607546923792","18.60171387755102","28.179766666666666","134.8778","11.6616","24.749497364771145","6464.9972",2163,"2.462862004163927","2.7382070500927647","3.243686337448559","4.7342128571428574","12.12438888888889","117.7126","1.6426","6.714097439613521","672.6426",2070
10f59a1e8a8c5021fef52dc393ef64a2aeed28d58eaeec907d28c7672932d712,"0.25183864566722847","0.12592240462345536",2,"21/07/2022, 16:59:27.563","21/07/2022, 17:19:31.722","00:20:04.1590000","1724715203.047619","164841569.52380952","8178.761904761905","17.4177","18.6563","20.8296","26.3237","38.8491","38.8491","16.7486","20.49126470588235","38.8491",17,"2.0692","2.8794","26.8688","102.4343","183.8014","204.2971","1.5709","30.807759999999995","204.2971",70
1f601700fd1ad28d5724213ac5dac91af698fb7206a1c2cdc23446426bef84f6,"0.19858254275352905","0.0992916828862361",2,"21/07/2022, 16:59:55.443","21/07/2022, 17:18:58.649","00:19:03.2060000","1822962444.1904762","226374022.0952381","10305.23163841808","20.3426","21.2344","126.8004","2159.9481","5137.2071","5141.6916","16.9311","686.587754347826","5141.6916",46,"2.2326","2.5674","4.7827","122.3426","198.0517","199.7866","1.7358","28.80122291666666","199.7866",48
