"cloud_RoleInstance","average_processor_time","average_processor_time_normalized","cpu_count","instance_begin [UTC]","instance_end [UTC]","instance_duration","average_ram_used_bytes","average_ram_available_bytes","avg_io_bytes_sec","full_percentile_duration_25","full_percentile_duration_50","full_percentile_duration_75","full_percentile_duration_90","full_percentile_duration_95","full_percentile_duration_99","full_min_duration","full_average_duration","full_max_duration","full_request_count","request_percentile_duration_25","request_percentile_duration_50","request_percentile_duration_75","request_percentile_duration_90","request_percentile_duration_95","request_percentile_duration_99","request_min_duration","request_average_duration","request_max_duration","incoming_request_count","table_percentile_duration_25","table_percentile_duration_50","table_percentile_duration_75","table_percentile_duration_90","table_percentile_duration_95","table_percentile_duration_99","table_min_duration","table_average_duration","table_max_duration","table_request_count"
"A87A0A3E-637952849162101172","13.290240280686513","6.645121298736689",2,"05/08/2022, 08:54:41.082","05/08/2022, 09:21:46.144","00:27:05.0620000","777226532.5714285",,,"101.9489244276064","123.0910204259501","150.8341216913365","190.45675501476032","218.83344247440982","321.769388","44.1795","154.6391510800184","19011.1684",26944,"102.7699833988861","135.90353246264073","172.60048163993366","210.01502303627728","231.97658713555168","279.64357809523807","22.8058","156.3583603882135","17106.2778",26944,"11.268816123656894","17.170765243066025","27.124772223386785","42.197616207074184","57.246037248677254","109.34045","6.4567","24.388715945058248","667.9673",27485
"A87A0A3E-637952841142461884","18.31202801417833","9.156028316040672",2,"05/08/2022, 08:54:31.180","05/08/2022, 09:21:36.371","00:27:05.1910000","715024091.4285715",,,"119.76938000539153","147.35057008176761","179.92733330577144","219.4430797937688","259.6132009551826","400.09193607142856","48.787","183.6897468543819","22435.6219",26068,"126.90981690309513","161.9278929736151","204.36682347856117","241.34145694671494","264.60635905045547","315.2753915364583","31.0857","184.64182822617977","18929.5634",26068,"14.203374205496509","23.329584096830224","37.600464330564826","58.1040202253788","74.99409943074451","128.08878750000002","7.4992","32.04765061608303","871.9453",25968
"A87A0A3E-637952823018793245","15.003050261091467","7.501530682937282",2,"05/08/2022, 08:01:41.677","05/08/2022, 08:27:46.728","00:26:05.0510000","797432642.3703704",,,"105.89193074542912","139.44108268585148","13873.597010269117","32320.687190676214","33976.74197727442","35190.50260805899","43.1929","7624.845372345582","35817.7132",27652,"100.04545682147027","134.3127559233674","179.76122453914496","250.39984779945053","886.8937441468854","2662.9158666666667","19.7078","253.47305764701713","19781.1965",27684,"9.48898596147741","14.268840763570655","34.94976710857928","841.6681634956786","968.4171840714286","2784.0671370370374","6.2213","253.57887193741703","6500.9467",28152
"A87A0A3E-637952800772758841","16.53709288934754","8.268382410054572",2,"05/08/2022, 08:01:51.895","05/08/2022, 08:27:56.935","00:26:05.0400000","691677866.6666666",,,"108.25319115645671","137.30312536319107","1509.7244766560852","26378.51371103304","31469.13892154725","34921.95076666666","50.9582","5588.560979019956","42674.8075",25386,"100.4820186984109","135.50951895068442","180.3630848552051","268.04478020024106","912.2037782855749","2679.5544548437497","20.1134","266.3430340717716","20507.2195",25414,"9.62913726311086","16.085726804577376","593.0695020519954","915.5076371212295","2336.545908455434","5468.19445","5.9094","375.01523168065114","6479.8733",25566
"A87A0A3E-637952829970806409","15.297445696861603","7.648903680114862",2,"05/08/2022, 08:02:02.143","05/08/2022, 08:35:08.221","00:33:06.0780000","818299120.9411764",,,"109.77596362181603","138.60282399494005","218.52007800426549","18959.95573040775","27383.256487408697","32814.54981907616","47.9204","3603.601790944732","46271.8669",35968,"99.407821405518","131.84728677684276","175.2644161831074","225.307598465866","808.8377163155377","2533.861088888889","19.4045","222.99528046510378","14497.2469",35992,"9.44924947575669","15.559190385543753","61.47393439980788","907.2462179887056","2286.923328040864","5454.859466666667","6.1798","350.6939550227283","6609.7342",35873
"A87A0A3E-637952829571547170","14.22939606888702","7.114742431334988",2,"05/08/2022, 08:02:12.426","05/08/2022, 08:27:17.474","00:25:05.0480000","779280535.7037038",,,"108.90955442630079","135.90381322362433","196.56856656233555","19711.878424014056","25274.67047273031","28897.975018380952","47.6233","3757.8220286762185","50371.0797",23312,"99.7014289780194","132.0372461850491","175.2092835003948","253.51283188317583","915.7373552737374","2767.603895238095","20.7394","263.8094587066385","15238.7175",23350,"10.005433419878546","18.19511682008358","710.8861940054852","949.3699697344886","2407.2560550674602","5578.943825","6.2491","430.68472832244055","6503.7789",23845
"A87A0A3E-637952818572034301","12.370912626862593","6.185438738961358",2,"05/08/2022, 08:02:22.579","05/08/2022, 08:27:27.618","00:25:05.0390000","716650023.3846154",,,"105.26649423776952","129.32122201228898","174.8346257790772","12048.083103780442","19648.674433915447","24680.798348","46.9291","2506.206579011814","51693.4308",22870,"100.81738602785715","133.03168570855573","175.26274896015389","237.06961580400653","889.5087775458371","2698.3624355555553","22.6308","257.3992665472971","21258.3374",22898,"10.07519300680761","19.831293703367358","727.5347100999815","951.4568542159898","2410.8125233968253","5713.6248","6.2377","449.52571571715873","6632.1647",22546
"A87A0A3E-637952771579516097","13.653634276457279","6.826816991193019",2,"05/08/2022, 08:03:32.940","05/08/2022, 08:34:39.145","00:31:06.2050000","716760653.5757576",,,"106.78040850241268","131.79900727716344","180.51719110922804","430.61620780170404","12046.413312037112","19845.783549166666","45.1582","1299.5873293373302","49036.7712",32399,"98.07814107836155","130.7869928685449","170.1095659094798","214.06424633012153","327.20593395818196","2401.4441527976187","17.7066","210.92759208375833","21605.8193",32427,"10.284401870038423","18.60403435859573","49.20907109954732","891.7116701834918","2196.0032528769843","5345.83615","6.1137","326.152667350669","6505.3261",32642
"A87A0A3E-637952783108947236","13.018415860309354","6.509208218372669",2,"05/08/2022, 08:02:43.237","05/08/2022, 08:34:49.304","00:32:06.0670000","713683936.969697",,,"105.07745178717471","129.34909263130533","172.34289106786872","282.4644224586644","6973.302083490973","16475.727803527698","47.0662","905.41048398005","45742.5733",31879,"98.30986286948402","131.1778567109431","170.69634026938803","214.2049577787939","278.3926071002187","2302.7100691666665","20.3213","206.01718832894588","21645.2001",31908,"11.282089077095529","19.685711475419993","42.85544761904762","872.4237430993445","2047.8091777777777","5474.0120625","6.2416","310.13112990640036","6613.2198",32070
"A87A0A3E-637952823332634768","22.07205444411281","11.036174882227591",2,"05/08/2022, 08:02:53.686","05/08/2022, 08:38:00.780","00:35:07.0940000","733178083.5555556",,,"126.69671628092878","158.92428219524714","222.3110750874401","2711.885131797651","4720.858854314368","12367.70784625","48.7093","841.096130475374","44769.0186",44449,"120.64411958841886","156.68252184834398","197.7975698073112","240.89552004446128","279.9613200588348","1006.0959650333333","25.0563","205.76256517985695","24532.5441",44480,"16.07814590260256","27.834931613478723","52.93631566423487","828.346438905187","979.1347472402598","5395.88365","6.7883","273.9179219092796","6453.1212",45418
